rcp,parameter,attribute,r_partial,p,p_fdr,sig_fdr
45,min_30day,p_seasonality,0.28971457505556386,1.7901103522729797e-13,2.3245490951254922e-12,True
45,min_30day,frac_snow,0.2513759301884624,2.0986844767096464e-10,1.8618032585463793e-09,True
45,min_3day,frac_high_perc,-0.16954584669719489,2.1632777472211064e-05,8.653110988884426e-05,True
45,min_3day,runoff_ratio,0.32351607165583474,1.3493293232133244e-16,2.5723384544662526e-15,True
45,min_3day,area,-0.09642903199952432,0.016227355546198117,0.03202579420571258,True
45,min_3day,dpsbar,0.06879771152312249,0.08671142905289032,0.1321317014139281,False
45,min_3day,elev_mean,0.12715183656449147,0.0014977466181934304,0.004017907095512915,True
45,min_3day,p_seasonality,0.24530636949987847,5.806492227372024e-10,4.8172379960419755e-09,True
45,min_3day,frac_snow,0.2602787919193478,4.4908319957159285e-11,4.373679856697252e-10,True
45,min_7day,frac_high_perc,-0.17812977280467626,7.977341017804937e-06,3.5384641346303083e-05,True
45,min_7day,runoff_ratio,0.32713283248114244,5.911229437578729e-17,1.176991461349009e-15,True
45,min_7day,area,-0.09767145787543383,0.014896712220141647,0.029793424440283295,True
45,min_7day,dpsbar,0.023100606674666752,0.5655746983350662,0.6350312402358639,False
45,min_7day,elev_mean,0.09431342426369782,0.01873384970963758,0.036253843066598866,True
45,min_7day,p_seasonality,0.2563489333885189,8.934209648964353e-11,8.426370363654801e-10,True
45,min_7day,frac_snow,0.2213673884146385,2.4804401302858606e-08,1.6355787681801152e-07,True
45,min_90day,frac_high_perc,-0.07152167859297798,0.07491221177064211,0.11796369375482482,False
45,min_90day,runoff_ratio,0.2783369871115957,1.6392077595513961e-12,1.932539674418488e-11,True
45,min_90day,area,-0.1160930509962454,0.003767541845783225,0.009074509391994003,True
45,min_90day,dpsbar,0.0990863882827635,0.013498960405669218,0.027426459236915238,True
45,min_90day,elev_mean,0.10140116136793725,0.01146057503752113,0.023880640078183562,True
45,min_90day,p_seasonality,0.4075578939080245,2.995766896392147e-26,1.789471426111576e-24,True
45,min_90day,frac_snow,0.3480942632092293,3.9619321646642424e-19,9.860808943164335e-18,True
45,month_01_Oct,frac_high_perc,-0.17730222915294508,8.801111742669318e-06,3.874653904559035e-05,True
45,month_01_Oct,runoff_ratio,0.37242065033317406,7.267641363457521e-22,2.8593657919513493e-20,True
45,month_01_Oct,area,-0.06995337251637165,0.08153449305663411,0.12595673410128305,False
45,month_01_Oct,dpsbar,-0.07670854856085432,0.05606480722624093,0.09217260050405848,False
45,month_01_Oct,elev_mean,-0.06577978239782736,0.10148530203347755,0.1500508756138546,False
45,month_01_Oct,p_seasonality,0.14141922674100205,0.0004080392602292887,0.0012607006109153194,True
45,month_01_Oct,frac_snow,0.05988968002825234,0.1360206861766513,0.1940677305959866,False
45,month_02_Nov,frac_high_perc,-0.17406301855580342,1.2874236132919196e-05,5.415641115068357e-05,True
45,month_02_Nov,runoff_ratio,0.19769363315245958,6.846647007381269e-07,3.5666254177986145e-06,True
45,month_02_Nov,area,0.03849719814750523,0.3381800327816514,0.4136224246421439,False
45,month_02_Nov,dpsbar,-0.22387045321957239,1.7073101663432917e-08,1.1951171164403044e-07,True
45,month_02_Nov,elev_mean,0.01665718712992792,0.6786636437493828,0.7415641765846915,False
45,month_02_Nov,p_seasonality,0.07024557594910351,0.08026594797689611,0.12464174937140193,False
